Team,GP,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
Milwaukee Bucks,21,18,3,0.857,48.2,119.8,44.1,91.7,48.1,16.7,43.4,38.5,14.8,20.5,72.1,10.2,39.3,49.5,25.2,13.6,6.8,4.1,3.7,18.1,18.3,8.7
Denver Nuggets,23,17,6,0.739,48.2,117.9,44.6,86.6,51.5,12.2,32.2,37.9,16.4,22,74.7,9.6,32.6,42.2,30.3,14.3,8.3,4.4,4.3,18.2,18.7,6.5
Boston Celtics,21,15,6,0.714,49.2,116.3,41.6,88.6,47,16.7,42.8,39,16.4,20,82.1,10.3,36.7,47,25.5,13.2,5.8,5,4.2,19.3,17.8,5.4
Philadelphia 76ers,21,15,6,0.714,48,115.9,40.1,82.4,48.7,12.1,31.3,38.8,23.4,27.7,84.7,8.7,32,40.7,25.5,13.3,7.1,4.4,4.5,20.4,20.6,3.9
Sacramento Kings,22,15,7,0.682,48.9,124.2,44.7,87.5,51.1,13.6,35.9,37.9,21.1,25.9,81.7,9.7,32.9,42.6,27.4,13.8,7.3,3.5,3.1,18.3,20.7,4.4
New York Knicks,22,14,8,0.636,48.9,116,41.8,87.7,47.6,12.8,35,36.5,19.7,26,75.9,12.2,34.4,46.6,21.2,11.8,5,3.7,4.6,20.3,20.1,3
Phoenix Suns,21,13,8,0.619,48.2,112.6,41.3,89.4,46.2,11,29.9,36.6,19,24.2,78.3,12.7,34.3,47,28,14.7,7.7,4.9,3.8,20.8,21.6,0.8
Toronto Raptors,23,14,9,0.609,48.2,115,42.8,92,46.5,11.3,32,35.2,18.2,24.3,74.8,13.2,30.6,43.8,24,11.3,8.8,5.5,4.9,19.4,20.1,1.8
Washington Wizards,20,12,8,0.6,48,115.3,42.1,86.1,48.9,12.5,32.6,38.4,18.7,23,81.3,9.8,34.4,44.1,25.6,14.1,6.7,5.1,5.1,18.4,19.6,2.7
Miami Heat,21,12,9,0.571,48.2,106.6,38.1,85.6,44.6,10.2,32.2,31.7,20.1,24.1,83.4,10.7,32,42.7,22.6,13.3,8.5,3,3.4,18.4,20.1,-1
Cleveland Cavaliers,23,13,10,0.565,48,112.7,42.4,84.7,50.1,11.3,31.1,36.2,16.7,21.1,79,9.7,30.7,40.3,27.2,12.8,8,4.9,4,18.4,19.8,6.2
Utah Jazz,20,11,9,0.55,48.3,116.6,41.7,88.6,47,12.7,36.2,34.9,20.6,26.3,78.5,12.9,35.9,48.7,24.2,15.9,5,6.2,5.1,19.5,21.4,0.1
Atlanta Hawks,22,12,10,0.545,48,119.9,45.4,91,49.9,11.6,29.5,39.4,17.5,21.4,82,10.7,32.7,43.4,25.6,12.5,6.6,4.8,4.5,18.3,18.8,1.9
Golden State Warriors,22,12,10,0.545,48.5,121.3,44.1,90.8,48.6,17.5,42.7,41.1,15.6,20.1,77.6,10.2,34,44.2,30.5,15.7,7.8,3.4,4,22,18.4,2.8
LA Clippers,22,12,10,0.545,48.9,118.8,42.9,87.4,49,13.6,33.6,40.5,19.5,23.8,81.8,9.4,32.6,42,23.5,12.9,7.5,4.5,3.9,19.5,19.6,2.1
Orlando Magic,21,11,10,0.524,48.2,111,40,85.5,46.9,10.4,29.3,35.4,20.6,26.4,77.8,10.2,31.9,42.1,23.3,14.6,7.8,4.2,5.5,19.3,21.7,-0.1
Minnesota Timberwolves,23,12,11,0.522,48.4,116.6,43.5,88.9,48.9,13.5,35.8,37.7,16,21.5,74.5,8.9,31.7,40.7,25.3,15.5,8.4,5.7,4.1,21.2,18.6,0.2
