Team,GP,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
Los Angeles Lakers,20,14,6,0.7,48.3,118,42.2,86.7,48.7,11.7,31.6,37.1,21.9,28.3,77.5,10.5,34.8,45.3,25.5,13.7,6.4,4.6,4.4,16.1,22.2,5.6
Philadelphia 76ers,22,15,7,0.682,48.7,118.8,42.3,83.6,50.6,12.8,32.2,39.8,21.4,25.1,85,9,32.8,41.9,25.9,13.4,7.4,4.8,4.1,20.5,18.7,6
Cleveland Cavaliers,18,12,6,0.667,48.3,113.4,42.6,87.6,48.6,11.9,31.7,37.7,16.3,21,77.5,9.7,28.8,38.4,25,11.8,7.3,5.7,5,20.1,18.9,5.3
Milwaukee Bucks,21,14,7,0.667,48.2,122.8,45,90.3,49.9,16,40.9,39.3,16.7,21.8,76.6,9.9,36.7,46.5,28.9,13.7,5.7,4.9,3.2,17,18.8,3.1
Boston Celtics,20,13,7,0.65,48.8,118.6,43.1,90.4,47.6,16.6,44.2,37.5,15.9,20.7,77,10.1,36.3,46.4,27.8,13.1,6.6,5.1,4,18,18.6,9.1
Memphis Grizzlies,22,14,8,0.636,48.5,119.5,44.6,90.8,49.1,14.2,37.8,37.6,16,20.9,76.9,9.9,33.6,43.5,28.2,12.4,7.9,5.1,4.6,19.9,17.6,3.4
LA Clippers,18,11,7,0.611,48,117.6,43.1,86.3,50,12.3,32.4,37.9,19.1,24.4,78,9.8,32.8,42.7,26.6,13.8,7.5,4,3.9,18.9,19.3,2.2
Chicago Bulls,20,12,8,0.6,49,113.7,43.2,87.2,49.6,10.8,29.4,36.6,16.5,20.5,80.7,8.2,32.5,40.7,25.4,11.9,9,4.6,4.3,17.4,18.2,3.3
Golden State Warriors,20,12,8,0.6,48.3,120.7,43.6,90.1,48.4,16.7,43.5,38.3,16.9,20.9,80.8,12,34.4,46.4,30.2,16.1,7.5,4.7,3.6,19.9,18.3,5.9
New Orleans Pelicans,20,12,8,0.6,48.3,114.5,42,86,48.9,11.9,29.3,40.5,18.7,22.5,83.1,9.2,33.8,43,26.6,13.7,7.6,4.2,3.7,19.6,19.3,5.4
Phoenix Suns,20,12,8,0.6,48,116.7,43.6,91.3,47.8,12,33,36.4,17.5,21.8,80.2,11.2,33,44.2,28,11.8,6.7,6.3,3.8,21.8,18.4,4.1
New York Knicks,19,11,8,0.579,48.5,120.4,44.1,89,49.5,14.1,37.7,37.2,18.3,24.9,73.2,11.9,33.4,45.3,24.9,13.4,7.7,4.6,4.3,19.2,19.9,3.3
Oklahoma City Thunder,21,12,9,0.571,48,116.5,41.9,91.8,45.6,12,35.2,33.9,20.9,25.1,83,11,32.2,43.1,23.5,12,8.2,2.7,5.8,19.9,20.9,1
Sacramento Kings,21,12,9,0.571,48.2,120.6,43.5,89.9,48.4,14.7,39.6,37,19,24.8,76.6,10.5,32.7,43.2,27.8,11.1,6.9,3.5,4.6,19.1,20.2,2.6
Minnesota Timberwolves,18,10,8,0.556,48.8,117.3,43.2,88.2,49,12.9,32.5,39.8,18,24.9,72.2,9.4,33.8,43.2,28.8,13.8,7.2,5.2,4.3,21,20.9,0.4
Miami Heat,20,11,9,0.55,48.3,114.1,40.4,82,49.2,13,34.3,37.8,20.5,24,85.2,8.8,29.5,38.3,25.4,13.9,6.7,2.7,3.7,17.2,20.3,0.2
Toronto Raptors,19,10,9,0.526,48.3,113.7,44.1,92.7,47.5,10.5,31.3,33.4,15.2,18.8,80.4,12.7,30.5,43.2,26.3,11.1,10.1,4.8,4.5,19.1,15.8,4.2
Brooklyn Nets,21,11,10,0.524,48.2,112.6,39.8,87.5,45.4,13.3,37.6,35.5,19.7,24.3,81,9.9,31.9,41.7,25.3,12.6,7.5,5.4,4.4,18.8,19.2,1.4
Atlanta Hawks,20,10,10,0.5,48.5,123.2,46,93.1,49.4,10.8,30.9,35,20.4,25,81.6,13.1,33,46,26.3,13.5,7.6,4.7,5.1,18.2,19.3,1.5
Denver Nuggets,19,9,10,0.474,48,111.1,41.9,86.6,48.4,10.5,31.3,33.6,16.7,22.2,75.1,10.6,32.5,43.1,27.5,13.3,7.5,4.7,3.4,17.4,18.7,-0.2
Houston Rockets,21,9,12,0.429,48.2,113.7,42.7,89.7,47.6,9.5,28.5,33.4,18.9,25,75.4,14.1,31.7,45.9,21.7,14.8,7.8,3.6,7,20.1,19.2,-5
Orlando Magic,20,8,12,0.4,48.3,113.8,42.3,89.5,47.3,11.2,32.6,34.4,18,23.4,77.1,10.5,34.1,44.5,25.1,14.8,8.1,4.9,5.1,19.9,20.3,-2.2
Charlotte Hornets,19,7,12,0.368,48,105.4,39.1,85.1,45.9,10.5,31.3,33.7,16.7,22.5,74.5,8.7,34,42.7,25.2,15.5,6.4,5.8,5.4,18.7,19.5,-7.9
Indiana Pacers,19,7,12,0.368,48.3,120.1,44.4,90,49.4,12.4,32.8,37.9,18.8,24.4,77.3,10.6,30.8,41.5,28.2,14.8,6.9,5.7,6,20.8,20.5,-6
San Antonio Spurs,20,7,13,0.35,48.8,115.8,43.6,95,45.9,13.1,36.5,35.9,15.5,21,73.6,11.5,34.2,45.7,28.4,14.6,7,4,5.7,18.6,18.6,-9.5
Dallas Mavericks,19,6,13,0.316,48.5,116.5,41.6,86.6,48,16.1,42.2,38.2,17.3,21.9,78.7,6.5,32.4,38.9,24.4,11.9,5.5,3.5,3.2,20.1,19.5,-2.3
Utah Jazz,19,6,13,0.316,48.3,116.5,43.7,91.5,47.8,11.4,34.5,32.9,17.8,22.7,78.2,11.3,36.9,48.3,27.1,15.1,4.9,5.5,5.3,20.1,18.1,-5.6
Washington Wizards,21,6,15,0.286,48.2,113.2,43,88.2,48.7,11,31.6,34.9,16.3,20.7,78.6,9.5,33.4,42.9,26.1,14,6.9,4.8,5.8,17.9,19,-4.4
Portland Trail Blazers,21,4,17,0.19,48,108.8,39.5,87.5,45.1,12,36.1,33.2,17.8,23,77.4,8.4,30.2,38.7,24,14.1,7.8,5.3,4.8,18.5,18,-14.4
Detroit Pistons,20,2,18,0.1,48,105.9,39,85.7,45.5,10.8,30.8,35,17.2,22.3,76.9,11.9,30.4,42.2,23.6,15.5,6.3,3.7,5.8,21.2,18.9,-10.5
